epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,750.841,0.44671,1.01747,0.83916,0.87722,0.88919,0.94664,0.91287,0.2774,0.4279,0.78609,0.0033311,0.0033311,0.0033311
2,1496.68,0.40558,0.54656,0.82907,0.88112,0.89301,0.95186,0.92382,0.26767,0.40712,0.78598,0.00633455,0.00633455,0.00633455
3,2236.19,0.40575,0.52176,0.83141,0.86312,0.88269,0.94044,0.91147,0.27365,0.41556,0.7891,0.00900799,0.00900799,0.00900799
4,2972.51,0.38742,0.50588,0.82755,0.88989,0.89803,0.95877,0.93699,0.24672,0.3539,0.782,0.008515,0.008515,0.008515
5,3709.36,0.36211,0.47672,0.82387,0.89259,0.89933,0.96029,0.9418,0.23366,0.34077,0.77859,0.00802,0.00802,0.00802
6,4459.1,0.35239,0.46442,0.82002,0.89573,0.90121,0.96277,0.94488,0.2279,0.32791,0.77756,0.007525,0.007525,0.007525
7,5194.57,0.34388,0.45343,0.81898,0.89271,0.90483,0.96265,0.94595,0.22458,0.32305,0.77646,0.00703,0.00703,0.00703
8,5932.78,0.33877,0.44982,0.81756,0.89689,0.90341,0.96326,0.94693,0.22191,0.31905,0.77586,0.006535,0.006535,0.006535
9,6670.27,0.33451,0.4419,0.81678,0.89756,0.90473,0.96431,0.94832,0.21955,0.31445,0.77523,0.00604,0.00604,0.00604
10,7419.01,0.32664,0.43774,0.81522,0.89772,0.90466,0.9646,0.94872,0.21904,0.31282,0.77513,0.005545,0.005545,0.005545
11,8162.77,0.28653,0.38699,0.7885,0.90205,0.90199,0.96502,0.94881,0.22004,0.31253,0.77496,0.00505,0.00505,0.00505
12,8898.5,0.28094,0.37909,0.78706,0.90035,0.90433,0.96554,0.9496,0.21908,0.31056,0.77466,0.004555,0.004555,0.004555
13,9639.08,0.2752,0.37098,0.78496,0.89993,0.90494,0.96579,0.94996,0.21855,0.30971,0.77442,0.00406,0.00406,0.00406
14,10378.1,0.26889,0.36259,0.78409,0.9009,0.90446,0.96591,0.95017,0.21765,0.30917,0.77415,0.003565,0.003565,0.003565
15,11120.4,0.26554,0.35599,0.78294,0.90099,0.90425,0.96595,0.95036,0.21672,0.30832,0.77391,0.00307,0.00307,0.00307
16,11858.1,0.25929,0.34869,0.78116,0.90008,0.90574,0.96601,0.95061,0.21594,0.30725,0.77372,0.002575,0.002575,0.002575
17,12602,0.25602,0.34308,0.7813,0.9002,0.90619,0.96613,0.9511,0.21483,0.30601,0.7735,0.00208,0.00208,0.00208
18,13344.9,0.24808,0.33196,0.77934,0.9018,0.90519,0.96632,0.95148,0.21396,0.30459,0.77327,0.001585,0.001585,0.001585
19,14086.8,0.24245,0.32194,0.77756,0.90151,0.90586,0.96653,0.95187,0.21309,0.30348,0.77301,0.00109,0.00109,0.00109
20,14819.3,0.23546,0.30994,0.77634,0.90234,0.90556,0.96669,0.95225,0.21221,0.3024,0.77275,0.000595,0.000595,0.000595
