epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,761.204,1.1831,1.09182,0.9688,0.99264,0.9874,0.99241,0.67798,1.08205,0.48261,0.95295,0.0033311,0.0033311,0.0033311
2,1524.61,1.14071,0.5494,0.98261,0.98738,0.98265,0.99218,0.67874,1.10177,0.47416,1.00425,0.00653248,0.00653248,0.00653248
3,2281.5,1.13975,0.52737,1.00461,0.99103,0.98372,0.99287,0.69218,1.10489,0.46444,1.03191,0.00960186,0.00960186,0.00960186
4,3031.45,1.12345,0.50919,1.00412,0.99251,0.98881,0.99242,0.70964,1.06272,0.40924,1.00423,0.009406,0.009406,0.009406
5,3780.41,1.10893,0.48673,0.99974,0.99365,0.99197,0.99315,0.71284,1.05311,0.38464,1.01131,0.009208,0.009208,0.009208
6,4549.94,1.10138,0.4728,0.99252,0.99491,0.99207,0.99341,0.72503,1.04702,0.36772,1.004,0.00901,0.00901,0.00901
7,5296.65,1.10134,0.46483,0.99568,0.9951,0.99189,0.99323,0.72467,1.04296,0.35762,1.00429,0.008812,0.008812,0.008812
8,6046.39,1.0959,0.46065,0.99062,0.995,0.99266,0.99319,0.73156,1.0412,0.349,1.00153,0.008614,0.008614,0.008614
9,6797.36,1.09522,0.45715,0.98973,0.99504,0.99268,0.99323,0.72943,1.03958,0.34643,1.00451,0.008416,0.008416,0.008416
10,7556.55,1.09279,0.45324,0.99385,0.99519,0.99262,0.9933,0.72927,1.0389,0.34408,1.00537,0.008218,0.008218,0.008218
11,8313.75,1.09251,0.45054,0.99528,0.99507,0.99278,0.99324,0.72818,1.03772,0.3423,1.00599,0.00802,0.00802,0.00802
12,9065.51,1.08791,0.44802,0.98791,0.99496,0.99276,0.99329,0.7282,1.03746,0.34129,1.00465,0.007822,0.007822,0.007822
13,9824.37,1.08595,0.4458,0.99045,0.99482,0.99274,0.99336,0.72869,1.03692,0.34093,1.00385,0.007624,0.007624,0.007624
14,10581.2,1.0876,0.44432,0.99268,0.99508,0.99278,0.9934,0.72864,1.03715,0.34047,1.00399,0.007426,0.007426,0.007426
15,11339.7,1.08429,0.44483,0.99073,0.99518,0.9926,0.9934,0.72942,1.0368,0.34022,1.00425,0.007228,0.007228,0.007228
16,12094.8,1.08512,0.44346,0.99333,0.99525,0.99278,0.99341,0.73095,1.03693,0.34025,1.00484,0.00703,0.00703,0.00703
17,12854.6,1.08481,0.44159,0.99355,0.99533,0.9927,0.99347,0.73217,1.03731,0.34037,1.00548,0.006832,0.006832,0.006832
18,13613.6,1.08155,0.43846,0.99545,0.99542,0.99283,0.99349,0.73355,1.03718,0.34061,1.00636,0.006634,0.006634,0.006634
19,14372.6,1.07938,0.43742,0.98891,0.99547,0.99266,0.99347,0.73439,1.03722,0.34088,1.00672,0.006436,0.006436,0.006436
20,15121.9,1.07897,0.43719,0.98936,0.99548,0.99276,0.99355,0.73528,1.03707,0.34063,1.00717,0.006238,0.006238,0.006238
21,15862.2,1.07972,0.43533,0.99013,0.99554,0.99274,0.99357,0.73616,1.03675,0.3403,1.00747,0.00604,0.00604,0.00604
22,16607.5,1.08083,0.43544,0.99221,0.99551,0.99274,0.99357,0.73686,1.03656,0.34009,1.00852,0.005842,0.005842,0.005842
23,17350.4,1.082,0.43434,0.99197,0.9955,0.99289,0.99361,0.73783,1.03622,0.33998,1.00871,0.005644,0.005644,0.005644
24,18096.5,1.07592,0.43003,0.98909,0.99565,0.99292,0.99367,0.73865,1.03589,0.33941,1.00855,0.005446,0.005446,0.005446
25,18844.9,1.07317,0.42972,0.98772,0.99564,0.99297,0.99372,0.73996,1.0354,0.33935,1.00827,0.005248,0.005248,0.005248
26,19591.3,1.07657,0.43028,0.98601,0.99569,0.9929,0.99375,0.74077,1.03488,0.33876,1.00785,0.00505,0.00505,0.00505
27,20334.4,1.07071,0.42728,0.98236,0.99559,0.99291,0.99373,0.74099,1.03438,0.33826,1.00706,0.004852,0.004852,0.004852
28,21083.7,1.06784,0.42404,0.98166,0.99559,0.99293,0.99379,0.74184,1.03398,0.33764,1.00616,0.004654,0.004654,0.004654
29,21835.3,1.06979,0.4246,0.98371,0.99559,0.99298,0.9938,0.7416,1.03349,0.33687,1.00547,0.004456,0.004456,0.004456
30,22588,1.06708,0.42305,0.98348,0.99569,0.99299,0.9938,0.74207,1.03308,0.33658,1.00474,0.004258,0.004258,0.004258
31,23336.4,1.06683,0.42108,0.98185,0.99557,0.99311,0.99383,0.74238,1.0323,0.33596,1.00385,0.00406,0.00406,0.00406
32,24089.1,1.06776,0.42039,0.98626,0.99567,0.99312,0.99388,0.74301,1.0317,0.3352,1.00374,0.003862,0.003862,0.003862
33,24842.6,1.06134,0.4155,0.98258,0.99573,0.99314,0.99388,0.74313,1.03092,0.33457,1.00363,0.003664,0.003664,0.003664
34,25598.8,1.06256,0.41649,0.98099,0.99586,0.99319,0.9939,0.74343,1.03022,0.33385,1.00303,0.003466,0.003466,0.003466
35,26346.6,1.06303,0.4142,0.97875,0.9959,0.99316,0.99391,0.7441,1.02945,0.33313,1.00248,0.003268,0.003268,0.003268
36,27114.2,1.05955,0.41045,0.97761,0.99605,0.99315,0.99393,0.74483,1.02874,0.33252,1.00104,0.00307,0.00307,0.00307
37,27870.1,1.05739,0.41072,0.982,0.99623,0.99303,0.99396,0.74573,1.02807,0.33212,1.00112,0.002872,0.002872,0.002872
38,28632.9,1.05674,0.40719,0.98407,0.99638,0.99312,0.99398,0.74586,1.0275,0.33149,1.00124,0.002674,0.002674,0.002674
39,29392.4,1.05224,0.40523,0.97536,0.99636,0.99321,0.994,0.74646,1.02652,0.33104,1.00002,0.002476,0.002476,0.002476
40,30148.7,1.04888,0.40151,0.9801,0.99646,0.99333,0.99401,0.7468,1.026,0.33075,0.99968,0.002278,0.002278,0.002278
41,30894.3,1.05264,0.43467,0.98622,0.99646,0.99337,0.99402,0.74691,1.02548,0.33106,0.99922,0.00208,0.00208,0.00208
42,31634.4,1.04785,0.43021,0.98361,0.99657,0.99341,0.99406,0.74729,1.02502,0.33099,0.99832,0.001882,0.001882,0.001882
43,32370.6,1.04256,0.42778,0.98207,0.99642,0.99345,0.99408,0.7476,1.02428,0.33096,0.99759,0.001684,0.001684,0.001684
44,33109.3,1.03726,0.42333,0.98166,0.99649,0.99349,0.99408,0.74754,1.02368,0.3308,0.99715,0.001486,0.001486,0.001486
45,33849,1.03724,0.41868,0.98058,0.99657,0.99339,0.99409,0.7476,1.02299,0.33023,0.99704,0.001288,0.001288,0.001288
